Date_ID,Incident_Year,Incident_Month,Incident_Day
1,1970,7,19
2,1972,12,8
3,1973,5,31
4,1973,10,28
5,1975,2,18
6,1975,3,31
7,1977,10,13
8,1977,12,4
9,1978,2,11
10,1979,4,26
11,1979,5,22
12,1980,11,4
13,1981,2,17
14,1981,8,22
15,1981,10,13
16,1982,1,13
17,1982,8,26
18,1983,7,11
19,1983,7,23
20,1983,9,23
21,1983,11,8
22,1984,2,9
23,1984,3,22
24,1984,6,6
25,1984,7,31
26,1985,3,17
27,1985,4,15
28,1985,5,11
29,1985,8,22
30,1985,9,25
31,1985,11,1
32,1985,11,24
33,1985,12,7
34,1986,1,15
35,1986,2,16
36,1986,7,14
37,1986,8,28
38,1986,10,25
39,1986,12,25
40,1987,8,4
41,1987,8,22
42,1987,8,31
43,1987,11,1
44,1987,12,5
45,1988,1,2
46,1988,1,17
47,1988,4,28
48,1988,6,19
49,1988,7,19
50,1988,9,15
51,1988,10,19
52,1989,1,8
53,1989,1,20
54,1989,5,20
55,1989,9,20
56,1989,10,26
57,1989,12,5
58,1989,12,30
59,1990,2,14
60,1990,5,11
61,1990,7,22
62,1990,10,2
63,1991,2,1
64,1991,3,3
65,1991,3,9
66,1991,5,26
67,1991,8,16
68,1991,8,23
69,1991,11,30
70,1992,1,10
71,1992,1,20
72,1992,11,20
73,1992,11,24
74,1993,4,6
75,1993,4,26
76,1993,7,18
77,1993,7,26
78,1993,9,6
79,1993,9,14
80,1993,11,19
81,1994,7,8
82,1994,9,8
83,1994,12,29
84,1995,1,16
85,1995,4,13
86,1995,6,3
87,1995,8,9
88,1995,9,6
89,1995,11,13
90,1995,12,2
91,1995,12,3
92,1996,1,29
93,1996,3,8
94,1996,11,23
95,1997,3,10
96,1997,4,11
97,1997,5,8
98,1997,5,22
99,1997,7,21
100,1997,8,3
101,1997,9,6
102,1997,12,19
103,1998,3,22
104,1998,5,5
105,1998,5,12
106,1998,5,14
107,1998,5,21
108,1998,6,17
109,1998,7,19
110,1998,8,14
111,1998,9,16
112,1998,11,1
113,1999,3,4
114,1999,6,9
115,1999,9,12
116,1999,10,15
117,1999,10,26
118,1999,10,31
119,2000,1,20
120,2000,2,22
121,2000,3,5
122,2000,4,19
123,2000,5,15
124,2000,6,12
125,2000,7,2
126,2000,7,5
127,2000,7,17
128,2000,8,23
129,2000,11,30
130,2001,2,7
131,2001,3,3
132,2001,3,17
133,2001,5,22
134,2001,8,25
135,2001,9,5
136,2001,9,11
137,2001,10,10
138,2001,11,16
139,2001,12,17
140,2002,1,14
141,2002,1,16
142,2002,1,21
143,2002,4,15
144,2002,5,7
145,2002,5,13
146,2002,8,28
147,2002,12,8
148,2002,12,26
149,2003,1,23
150,2003,3,21
151,2003,5,24
152,2003,6,16
153,2003,7,8
154,2003,12,19
155,2003,12,22
156,2004,1,3
157,2004,2,25
158,2004,3,23
159,2004,4,27
160,2004,8,11
161,2004,10,18
162,2004,11,28
163,2005,2,3
164,2005,5,10
165,2005,5,18
166,2005,5,22
167,2005,6,28
168,2005,9,5
169,2005,9,18
170,2005,10,9
171,2005,10,22
172,2005,12,8
173,2006,2,2
174,2006,4,13
175,2006,5,3
176,2006,6,9
177,2006,6,15
178,2006,7,18
179,2006,9,8
180,2006,10,3
181,2006,10,29
182,2006,12,24
183,2006,12,26
184,2007,1,1
185,2007,2,21
186,2007,3,7
187,2007,5,5
188,2007,6,25
189,2007,6,28
190,2007,7,27
191,2007,8,20
192,2007,10,26
193,2007,10,28
194,2007,11,1
195,2007,11,7
196,2007,12,30
197,2008,1,9
198,2008,1,17
199,2008,1,28
200,2008,2,17
201,2008,3,10
202,2008,5,30
203,2008,7,14
204,2008,7,18
205,2008,7,23
206,2008,8,24
207,2008,8,27
208,2008,9,14
209,2008,10,1
210,2008,10,20
211,2008,11,10
212,2008,12,20
213,2009,1,15
214,2009,4,20
215,2009,5,4
216,2009,7,13
217,2009,8,10
218,2009,9,15
219,2009,10,28
220,2009,12,21
221,2009,12,22
222,2010,1,10
223,2010,1,25
224,2010,3,1
225,2010,4,13
226,2010,5,22
227,2010,6,6
228,2010,6,18
229,2010,6,19
230,2010,7,28
231,2010,9,24
232,2010,11,2
233,2011,1,3
234,2011,1,10
235,2011,4,1
236,2011,7,14
237,2011,7,29
238,2011,7,30
239,2011,8,20
240,2011,8,29
241,2011,10,10
242,2011,11,10
243,2011,12,8
244,2011,12,20
245,2012,2,5
246,2012,2,13
247,2012,2,14
248,2012,3,29
249,2012,3,31
250,2012,4,20
251,2012,4,22
252,2012,6,1
253,2012,6,20
254,2012,7,18
255,2013,2,6
256,2013,2,11
257,2013,4,5
258,2013,4,13
259,2013,4,16
260,2013,4,17
261,2013,5,24
262,2013,6,2
263,2013,6,8
264,2013,6,13
265,2013,7,6
266,2013,7,22
267,2013,8,10
268,2013,9,29
269,2013,11,17
270,2013,12,5
271,2014,1,3
272,2014,1,5
273,2014,2,1
274,2014,2,2
275,2014,2,17
276,2014,2,22
277,2014,2,27
278,2014,3,8
279,2014,3,13
280,2014,5,8
281,2014,6,20
282,2014,6,28
283,2014,7,4
284,2014,7,17
285,2014,10,7
286,2014,11,6
287,2014,11,24
288,2014,12,12
289,2014,12,28
290,2015,3,29
291,2015,4,1
292,2015,4,13
293,2015,4,14
294,2015,7,19
295,2015,8,15
296,2015,9,8
297,2015,9,15
298,2015,10,26
299,2015,10,31
300,2015,11,3
301,2015,11,22
302,2015,12,15
303,2016,1,14
304,2016,1,28
305,2016,2,2
306,2016,2,17
307,2016,3,3
308,2016,3,19
309,2016,4,4
310,2016,5,11
311,2016,5,19
312,2016,5,27
313,2016,6,27
314,2016,8,3
315,2016,8,4
316,2016,8,9
317,2016,8,27
318,2016,10,28
319,2016,11,29
320,2016,12,10
321,2016,12,27
322,2017,3,27
323,2017,4,8
324,2017,5,24
325,2017,5,31
326,2017,7,21
327,2017,8,3
328,2017,8,15
329,2017,9,5
330,2017,9,12
331,2017,9,15
332,2017,9,30
333,2017,10,2
334,2017,10,14
335,2017,10,30
336,2017,12,2
337,2018,1,13
338,2018,3,27
339,2018,3,28
340,2018,4,9
341,2018,4,17
342,2018,4,29
343,2018,5,1
344,2018,5,2
345,2018,5,7
346,2018,8,13
347,2018,8,16
348,2018,8,26
349,2018,8,28
350,2018,9,1
351,2018,9,26
352,2018,9,28
353,2018,10,10
354,2018,10,12
355,2018,10,29
356,2018,12,11
357,2019,2,8
358,2019,2,24
359,2019,3,1
360,2019,3,10
361,2019,3,23
362,2019,4,10
363,2019,5,5
364,2019,6,9
365,2019,6,17
366,2019,7,1
367,2019,7,23
368,2019,7,26
369,2019,8,8
370,2019,8,15
371,2019,11,16
372,2019,12,22
373,2020,1,8
374,2020,2,9
375,2020,2,14
376,2020,5,19
377,2020,5,22
378,2020,8,7
379,2020,8,28
380,2020,8,29
381,2020,12,2
382,2021,1,9
383,2021,3,18
384,2021,9,23
385,2022,1,5
