Location_ID,Incident_Location
1,Isfahan-Shah...
2,near Jakarta-Soek...
3,Puerto Valla...
4,Honolulu-Dan...
5,near Sabashahr
6,New York-La ...
7,Usinsk Airpo...
8,Miyanmin Air...
9,near Victorville-...
10,near Karachi-Jinn...
11,Kozhikode-Ca...
12,Bucharest Ba...
13,near Tokyo-Haneda...
14,Garowe Airpo...
15,Khanty-Mansi...
16,Khartoum-Civ...
17,Billund Airp...
18,Chittagong-S...
19,London-Stans...
20,near Addis Ababa-...
21,Bristol Airp...
22,New York-Joh...
23,Moskva-Shere...
24,Denver Inter...
25,Pittsburgh-G...
26,Mumbai-Chhat...
27,Lagos-Murtal...
28,Addenbroke I...
29,Orlando Inte...
30,near Zhukovsky In...
31,Frankfurt In...
32,Trabzon Airp...
33,Murcia-San J...
34,Tel Aviv-Ben...
35,Osaka-Kansai...
36,near Philadelphia...
37,Gorontalo-Ja...
38,Marrakech-Me...
39,Baltimore/Wa...
40,Los Angeles ...
41,Manila-Ninoy...
42,near Vancouver In...
43,Macau Airpor...
44,Adler/Sochi ...
45,near Chuuk/Weno I...
46,Yakutsk Airp...
47,Tiruchirappa...
48,near Tanjung Bungin
49,Hong Kong-Ch...
50,Ardabil Airp...
51,Sibu Airport...
52,Elfin Cove S...
53,Manokwari-Re...
54,San Francisc...
55,Lower East R...
56,Medan-Kualan...
57,Cochin Inter...
58,Bridgetown-G...
59,Washington-R...
60,Chicago-Midw...
61,Sydney-Kings...
62,Toronto - Lo...
63,Toronto-Pear...
64,near Windhoek-Hos...
65,"Chance Bay, ..."
66,near Mogadishu In...
67,Detroit-Metr...
68,Rostov Airpo...
69,Larnaca Airp...
70,Jakarta-Hali...
71,Paris-Charle...
72,near Egyptian coast
73,Tokyo-Haneda...
74,Singapore-Ch...
75,Dubai Airpor...
76,"near Biloxi, MS"
77,Chicago-O'Ha...
78,Georgetown-C...
79,Kabul-Hamid ...
80,Malta-Luqa A...
81,Goa-Dabolim ...
82,Halifax-Stan...
83,Dublin Airpo...
84,Khajuraho Ai...
85,Hiroshima In...
86,near Kosrae Airpo...
87,Glasgow Inte...
88,Charlotte-Do...
89,Las Vegas-Mc...
90,Miami Intern...
91,Johannesburg...
92,"near Hasna, North..."
93,Lahore-Allam...
94,Osh Airport ...
95,Nashville In...
96,Madinah-Moha...
97,Jaipur Inter...
98,Surabaya-Jua...
99,Kulob Airpor...
100,Funchal Airp...
101,Terceira-Laj...
102,Winnipeg-Jam...
103,within Indian Ocean
104,Philadelphia...
105,Kabul Airpor...
106,Leipzig Airp...
107,Hrabove
108,Surat Gujara...
109,Stavanger-So...
110,Karimata Strait
111,Tunis-Cartha...
112,Muscat-Seeb ...
113,Denpasar-Ngu...
114,Seoul-Incheo...
115,near Tripoli Inte...
116,London-Heath...
117,Varna Airpot...
118,Davao City-F...
119,Roma-Fiumici...
120,Melbourne-Tu...
121,near Deauville-Sa...
122,Kazan Intern...
123,Madrid-Baraj...
124,Sendai Airpo...
125,Kalibo Airpo...
126,London-Luton...
127,Oslo-Garderm...
128,Tokyo Haneda...
129,near Islamabad-Be...
130,Karachi-Jinn...
131,Pontianak-Su...
132,Tokyo-Narita...
133,La Serena-La...
134,Kuching Airp...
135,Hoedspruit A...
136,Yuma Interna...
137,Boston-Logan...
138,Cairo Intern...
139,near Resolute Air...
140,Antalya Airp...
141,near Minneapolis-...
142,Atlanta Hart...
143,Yogyakarta-A...
144,Newark-Liber...
145,near Beirut Inter...
146,Mwanza Airpo...
147,Mangalore-Ba...
148,Amsterdam-Sc...
149,Praha-Ruzyne...
150,Palermo-Punt...
151,"near Weehawken, N..."
152,Delhi-Indira...
153,Montego Bay-...
154,"near Charleston, WV"
155,"Sheffield, MA"
156,Makassar-Sul...
157,Kingston-Nor...
158,Merauke-Mopa...
159,Batam-Hang N...
160,Tegucigalpa-...
161,Port Harcour...
162,Manchester A...
163,Banjarmasin-...
164,near Bishkek-Mana...
165,Kufrah Airpo...
166,Jambi-Sultan...
167,near Perm Airport...
168,Kaliningrad-...
169,Phoenix-Sky ...
170,Roma-Ciampin...
171,near Pambauang
172,N'Djamena Ai...
173,Las Palmas-G...
174,near Douala Airpo...
175,Venice-Trevi...
176,M'Banza Cong...
177,Okinawa-Naha...
178,Butuan Airpo...
179,Katowice-Pyr...
180,Malang-Abdul...
181,Cape Town In...
182,Bucharest-Ot...
183,Haydom
184,near Adler/Sochi ...
185,near Anyang VOR
186,Catania-Font...
187,Rotterdam Ai...
188,Tarakan-Juwa...
189,Abuja Intern...
190,Ujung Pandan...
191,San Diego In...
192,near Kabul Airpor...
193,Minneapolis-...
194,Leeds/Bradfo...
195,Punta Cana A...
196,Matemo Airport
197,Medan-Poloni...
198,Fort Lauderd...
199,Lisa Village...
200,near Sharm el Sheikh
201,Edmonton Int...
202,Zhengzhou Ai...
203,Freetown-Lun...
204,Taipei-Songs...
205,Barcelona Ai...
206,Jakarta-Soek...
207,Tainan Airpo...
208,Amarillo Int...
209,near Port Sudan
210,Libreville A...
211,Pekanbaru-Su...
212,near Yokyakarta
213,Hakodate Air...
214,near Pusan-Kimhae...
215,near Tunis-Cartha...
216,Mahe Island-...
217,"near Brisbane, QLD"
218,near Windhoek
219,Bilbao Airpo...
220,Bangkok Inte...
221,Yellowknife ...
222,"New York, NY"
223,Dillingham M...
224,Belo Horizon...
225,"near Boston, MA"
226,London-Gatwi...
227,Harare Airpo...
228,Burbank/Glen...
229,near Davao City-F...
230,Aswan Airpor...
231,"near Goderich, ON"
232,Amman-Queen ...
233,near Patna Airpor...
234,near Bahrain Inte...
235,Baghdad
236,Shannon Airp...
237,Biarritz Par...
238,Zhanjiang Ai...
239,West Palm Be...
240,Yangon-Minga...
241,near Nantucket Is...
242,Bacolod Airp...
243,near Andoas
244,near Nome Airport...
245,Ibiza Airpor...
246,Juneau Inter...
247,Guadalajara-...
248,Taipei-Chian...
249,Diyarbakir A...
250,Atlanta-Will...
251,Fukuoka Airp...
252,Abu Dhabi In...
253,Shenzhen Air...
254,Newark Inter...
255,Naknek Airpo...
256,Douala Airpo...
257,Beijing-Capi...
258,Nejran Airpo...
259,near Palembang
260,near Blenheim
261,Halifax Inte...
262,Zhuhai Airpo...
263,Derna-Martub...
264,"near Mitsamiouli,..."
265,El Obeid Air...
266,near San Salvador
267,Kaduna Airpo...
268,Bangalore-Hi...
269,Djibouti Air...
270,Luxor Airpor...
271,Taipei
272,"near Aliquippa, PA"
273,Sana'a Inter...
274,near Van Airport ...
275,Amritsar-Raj...
276,Guatemala Ci...
277,Lucknow-Amau...
278,near Aurangabad A...
279,Managua-Augu...
280,near Mokpo Airpor...
281,near Port Blair
282,Warszawa-Oke...
283,Panama City-...
284,Madras Airpo...
285,near Strasbourg-E...
286,San Luis Air...
287,near Guilin Airpo...
288,near Colorado Spr...
289,Nadi Interna...
290,near Phu Toey
291,near Imphal Munic...
292,Stockholm-Ar...
293,Lubbock Inte...
294,Austin-Rober...
295,near Bangalore-Hi...
296,Kinston-Stal...
297,Guangzhou-Ba...
298,near Kegworth
299,near Huaral
300,near Hualien Airp...
301,Lille-Lesqui...
302,Tucson Inter...
303,near Seferihisar
304,Vancouver In...
305,Dar es Salaa...
306,Kaohsiung In...
307,"near Maui, HI"
308,Taichung-Chi...
309,near New Orleans ...
310,Vadodara Air...
311,near Bahar Dar Ai...
312,near Ahmedabad Ai...
313,Calama-El Lo...
314,Belleville-S...
315,near Phuket Inter...
316,"Deptford, NJ"
317,near Magong Airpo...
318,Kelowna Airp...
319,Rajkot-Civil...
320,near Arar
321,Dhahran Inte...
322,Doha Interna...
323,Manchester I...
324,Unalaska Air...
325,Bethel Airpo...
326,Huambo Airpo...
327,Calgary Inte...
328,Calcutta Air...
329,Tehran-Mehra...
330,Baghdad-Sadd...
331,near Cuenca
332,Gimli Airpor...
333,Mino Jebel Ali
334,Atlantic Cit...
335,near Lubango Airp...
336,near Washington-N...
337,Havana
338,"Nairobi, Jed..."
339,Ishigaki Air...
340,Santa Ana-Jo...
341,Le Touquet A...
342,near Sanyi Townsh...
343,Lahore Airpo...
344,Benguela Air...
345,Nagpur Airpo...
346,Cranbrook Ai...
347,"Richmond, Ne..."
348,Mogadishu In...
349,near Tanjong Kupang
350,Casper Airpo...
351,near Delhi-Indira...
352,Yacuiba Airp...
353,Greensboro/H...
354,near Chicago-Midw...
